Datetime,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23
2020-04-09,18381.333333333332,17895.0,17850.416666666668,17968.416666666668,18433.5,19434.833333333332,20650.666666666668,20586.916666666668,19720.083333333332,19092.333333333332,18241.416666666668,17201.75,16005.333333333334,16561.333333333332,16507.5,17032.416666666668,17855.5,19356.583333333332,22150.416666666668,23827.416666666668,24094.25,23110.75,21604.333333333332,19940.833333333332
2020-04-10,19072.666666666668,18249.0,17717.583333333332,17496.833333333332,17572.916666666668,18464.333333333332,19647.416666666668,19444.25,17806.5,15913.25,14559.083333333334,13614.333333333334,12545.166666666666,12305.083333333334,12375.75,13200.416666666666,14668.083333333334,17159.25,19760.75,22116.0,22652.833333333332,21891.333333333332,20813.666666666668,18944.166666666668
2020-04-11,17820.416666666668,16580.416666666668,15585.166666666666,15291.666666666666,15391.0,15711.166666666666,16186.25,13849.833333333334,10130.166666666666,8223.833333333334,7904.083333333333,6935.0,6383.75,5805.583333333333,6409.0,6575.333333333333,7019.5,9063.166666666666,13888.583333333334,18136.75,19100.75,18368.083333333332,17368.5,15796.75
2020-04-12,15015.583333333334,14056.333333333334,13990.583333333334,13670.416666666666,13588.916666666666,14099.583333333334,14416.083333333334,11842.333333333334,8459.083333333334,7386.0,7568.416666666667,6858.916666666667,6598.083333333333,6093.833333333333,6110.583333333333,6236.833333333333,7629.0,10326.583333333334,15871.166666666666,19646.166666666668,20421.833333333332,19862.083333333332,18508.166666666668,16999.916666666668
2020-04-13,16128.75,15034.916666666666,13462.0,13210.333333333334,13452.666666666666,14987.25,16492.416666666668,14920.333333333334,11152.5,8866.583333333334,7627.333333333333,7359.583333333333,7125.25,6812.583333333333,6520.833333333333,6620.416666666667,7875.416666666667,10494.916666666666,16234.916666666666,20399.25,20894.416666666668,19661.333333333332,18198.083333333332,17044.583333333332
2020-04-14,16860.416666666668,16921.75,16790.5,17132.666666666668,17516.0,18416.833333333332,19465.0,16342.25,11262.166666666666,9043.583333333334,8005.333333333333,8011.0,7848.333333333333,7352.333333333333,7610.0,7984.166666666667,9798.5,12807.0,18922.916666666668,23453.75,24056.916666666668,22987.166666666668,21497.166666666668,19928.416666666668
2020-04-15,18843.083333333332,18043.166666666668,17357.666666666668,17295.166666666668,17932.916666666668,18727.666666666668,19493.333333333332,16187.416666666666,11062.166666666666,8717.5,7942.0,7908.166666666667,8052.916666666667,8123.083333333333,8132.5,8505.166666666666,9709.75,11789.333333333334,16974.75,21247.75,21627.333333333332,20796.416666666668,19224.75,17681.75
2020-04-16,16700.916666666668,15868.916666666666,15133.083333333334,14969.25,15416.75,16432.916666666668,17390.666666666668,14586.416666666666,9923.5,8987.25,8215.416666666666,7915.833333333333,8193.333333333334,8595.166666666666,9033.333333333334,9521.416666666666,10872.25,12909.583333333334,17871.333333333332,21669.0,22000.5,21070.833333333332,19439.083333333332,17729.75
2020-04-17,16798.833333333332,16358.5,15963.333333333334,15800.0,15974.75,16732.25,17564.75,16701.166666666668,14616.833333333334,13136.0,11283.666666666666,10025.75,9431.083333333334,8152.75,8152.25,8801.583333333334,10696.583333333334,13841.0,18293.5,21043.166666666668,21244.5,20071.916666666668,18812.75,17747.75
2020-04-18,16922.583333333332,16389.083333333332,15668.25,15421.083333333334,15701.0,16500.833333333332,16854.5,14547.416666666666,12014.916666666666,10147.166666666666,8124.5,7384.5,6868.166666666667,6409.0,6310.916666666667,6948.25,7629.5,9877.583333333334,14759.583333333334,18670.25,19780.083333333332,19478.166666666668,18302.083333333332,17147.333333333332
